state,total_enrolment,national_share_percent,cumulative_share_percent,avg_enrolment,avg_biometric,avg_demographic,avg_bio_to_enrol,system_stress_index,failure_mode
UTTAR PRADESH,557687,21.14057922064236,21.14057922064236,19877.64285714286,203864.8571428572,89318.85714285714,8.727506358611056,0.6776787158929807,Usage Saturation Failure
TAMIL NADU,74674,2.8307125909735165,82.04445576618286,2666.928571428572,94882.10714285714,20485.464285714286,234.9106373330792,0.5331029635032298,Inclusion Friction Failure
MAHARASHTRA,172465,6.537735316204403,47.9917876961766,6155.892857142857,189896.39285714287,58791.96428571428,83.35635717041454,0.5309376416587955,Inclusion Friction Failure
KARNATAKA,97668,3.70236008965907,75.64603090303879,3479.285714285714,58350.607142857145,21730.85714285714,191.51332998843867,0.4252717084191635,Inclusion Friction Failure
MADHYA PRADESH,232899,8.828643593823031,41.4540523799722,8309.17857142857,144364.89285714287,48526.03571428572,11.28453862574531,0.389906460743799,Inclusion Friction Failure
GUJARAT,167099,6.334323100933172,54.32611079710977,5967.821428571428,75629.92857142857,23382.85714285714,83.03124341760804,0.3404324313803061,Inclusion Friction Failure
BIHAR,302969,11.484829565506807,32.625408786149166,9465.851851851852,90657.96296296296,49228.18518518518,7.914619875850248,0.3391706899191436,Usage Saturation Failure
RAJASTHAN,154860,5.870371907734403,66.44558950687133,5527.357142857143,86216.75,27310.39285714286,14.783393583457778,0.2531710374862144,Inclusion Friction Failure
ANDHRA PRADESH,41948,1.590148268020423,93.57666983953332,1613.3846153846157,46812.0,22409.46153846154,87.71133379756344,0.2251781982658258,Inclusion Friction Failure
WEST BENGAL,164851,6.249106802027147,60.57521759913692,5883.214285714285,57313.07142857143,53346.07142857143,14.227665221441072,0.2110910477801845,Inclusion Friction Failure
TELANGANA,53952,2.0451911737445854,88.73067517616613,1926.857142857143,35490.28571428572,20035.53571428572,73.49638622541099,0.1935842733493883,Inclusion Friction Failure
CHHATTISGARH,39731,1.5061071049089212,96.59646557060616,1418.9642857142858,57164.32142857143,32725.714285714286,39.00454183959194,0.1713705279866593,Inclusion Friction Failure
PUNJAB,39931,1.5136886261639055,95.09035846569724,1424.357142857143,38202.75,13082.82142857143,50.53049768546209,0.156911432433017,Inclusion Friction Failure
ASSAM,145039,5.498081306508395,71.94367081337973,5179.964285714285,18984.25,9223.107142857143,26.340801691543867,0.1538403710078092,Inclusion Friction Failure
JAMMU AND KASHMIR,13715,0.5199028200605537,98.48653881947376,507.962962962963,12920.74074074074,5367.888888888889,68.40842636345434,0.1253806696491705,Inclusion Friction Failure
